show,season,episode,character,line,line_no
Dawson's Creek,1,0,Joey,(imitating ET) I'll be right here...I love this movie. (pause) This won the Oscar didn't it?,1
Dawson's Creek,1,0,Joey,"Dawson turns off the movie and switches it to the local news, which his mom co-anchors for.",2
Dawson's Creek,1,0,Dawson,Ghandi. Spielberg was robbed. This was before he outgrew his Peter Pan syndrome.,3
Dawson's Creek,1,0,Joey,(frowning) But Ghandi? I mean why give an Oscar to a movie you can't even sit through?,4
Dawson's Creek,1,0,Dawson,Thank you.,5
Dawson's Creek,1,0,Dawson,Joey watches the TV as she gets up to put on her shoes.,6
Dawson's Creek,1,0,Joey,New do?,7
Dawson's Creek,1,0,Dawson,Yeah. She likes big hair.,8
Dawson's Creek,1,0,Joey,Must weigh a lot. How does she walk upright?,9
Dawson's Creek,1,0,Joey,Dawson laughs then notices Joey putting on her shoes.,10
Dawson's Creek,1,0,Dawson,Where are you going?,11
Dawson's Creek,1,0,Joey,Home.,12
Dawson's Creek,1,0,Dawson,Spend the night.,13
Dawson's Creek,1,0,Joey,I can't.,14
Dawson's Creek,1,0,Dawson,Come on you always spend the night.,15
Dawson's Creek,1,0,Joey,Not tonight.,16
Dawson's Creek,1,0,Dawson,Why not?,17
Dawson's Creek,1,0,Joey,"I just don't think it's a good idea for me to sleep over anymore, you know?",18
Dawson's Creek,1,0,Joey,Dawson sits up and puts the remote control on his desk.,19
Dawson's Creek,1,0,Dawson,"No, I don't know. C'mon, You've been sleeping over since you were seven. It's Saturday night.",20
Dawson's Creek,1,0,Joey,Things change Dawson. Evolve.,21
Dawson's Creek,1,0,Dawson,What are you talking about?,22
Dawson's Creek,1,0,Dawson,Joey puts on her jean jacket.,23
Dawson's Creek,1,0,Joey,"Sleeping in the same bed was fine when we were kids, but we're fifteen now.",24
Dawson's Creek,1,0,Dawson,Yeah.,25
Dawson's Creek,1,0,Joey,We start high school Monday?,26
Dawson's Creek,1,0,Dawson,Yeah.,27
Dawson's Creek,1,0,Dawson,Joey taps her chest.,28
Dawson's Creek,1,0,Joey,And I have breasts!,29
Dawson's Creek,1,0,Dawson,(surprised) What?!,30
Dawson's Creek,1,0,Dawson,She points to Dawson.,31
Dawson's Creek,1,0,Joey,And you have genitalia!,32
Dawson's Creek,1,0,Dawson,I've always had genitalia.,33
Dawson's Creek,1,0,Joey,But there's more of it.,34
Dawson's Creek,1,0,Joey,Dawson is embarrassed but tries to play it off.,35
Dawson's Creek,1,0,Dawson,How do you know?,36
Dawson's Creek,1,0,Joey,Long fingers...I gotta go.,37
Dawson's Creek,1,0,Joey,She moves toward the open window to leave. Dawson reaches out to her.,38
Dawson's Creek,1,0,Dawson,"Whoa Jo, don't hit and run. (Joey turns around) C'mon, explain yourself.",39
Dawson's Creek,1,0,Joey,I just think our emerging hormones are destined to alter our relationship and I'm trying to limit the fallout.,40
Dawson's Creek,1,0,Joey,"Dawson gets up off the bed with his arms crossed, smiling.",41
Dawson's Creek,1,0,Dawson,"Your emerging hormones aren't developing a thang for me, are they?",42
Dawson's Creek,1,0,Joey,A thing?,43
Dawson's Creek,1,0,Joey,Touches her forehead sarcastically like she has to think about it.,44
Dawson's Creek,1,0,Joey,"No, I'm not getting a thing for you Dawson. I've known you too long. I've seen you burp, barf, pick your nose, scratch your butt. I don't think I'm getting a thing for you.",45
Dawson's Creek,1,0,Dawson,So what's the problem?,46
Dawson's Creek,1,0,Joey,We're changing and we have to adjust or else the male/female thing will get in the way.,47
Dawson's Creek,1,0,Joey,Dawson sits back down on the bed.,48
Dawson's Creek,1,0,Dawson,"What's with this When Harry met 80's crap. It doesn't apply to us, we transcend it.",49
Dawson's Creek,1,0,Joey,And how do we do that?,50
Dawson's Creek,1,0,Dawson,(lying back) By going to sleep. I'm tired.,51
Dawson's Creek,1,0,Joey,That's avoidance.,52
Dawson's Creek,1,0,Dawson,"No, it's proof. Proof that we can still remain friends, despite any mounting sexual theoretics.",53
Dawson's Creek,1,0,Joey,(pauses for a minute) I don't think it works that way Dawson.,54
Dawson's Creek,1,0,Dawson,"Come on, don't get female on me Joey. I don't want to have to start calling you Josephine.",55
Dawson's Creek,1,0,Joey,(smiling) Josephine this!,56
Dawson's Creek,1,0,Joey,She leaps onto the bed and attacks him with punches. They tickle and punch each other until Dawson has the upper hand.,57
Dawson's Creek,1,0,Joey,"(noticing Dawson's body slightly on top of hers) Okay, I give...I give.",58
Dawson's Creek,1,0,Dawson,"We're friends okay? (Joey nods, smiling) No matter how much body hair we acquire? Deal?",59
Dawson's Creek,1,0,Joey,Deal.,60
Dawson's Creek,1,0,Dawson,"(leaning back) All right...and we don't ever talk about this again, deal?",61
Dawson's Creek,1,0,Dawson,Joey smiles.,62
Dawson's Creek,1,0,Joey,You got it.,63
Dawson's Creek,1,0,Dawson,"Okay, cool.",64
Dawson's Creek,1,0,Joey,Cool.,65
Dawson's Creek,1,0,Joey,Dawson and Joey each climb under the covers.,66
Dawson's Creek,1,0,Dawson,Goodnight Joey.,67
Dawson's Creek,1,0,Joey,(snuggling into pillow) Goodnight Dawson.,68
Dawson's Creek,1,0,Joey,"Joey shifts farther away from Dawson. Dawson looks over, noticing. He moves a little to his side of the bed and glances over again, as she scoots closer to the edge. Dawson pauses, staring up at the ceiling.",69
Dawson's Creek,1,0,Dawson,Why'd you have to bring this up anyway?,70
Dawson's Creek,1,0,Dawson,"Opening Credits. Paula Cole's ""I Don't Want to Wait"" plays.",71
Dawson's Creek,1,0,Dawson,"Sail boats drift along a lake on a sunny day. Pan from boats to dock, where Joey is sitting in a lawn chair. The camera moves closer as tense music plays. Suddenly something rises from the lake and grabs her.",72
Dawson's Creek,1,0,Joey,Ahhhhhhhh!!,73
Dawson's Creek,1,0,Joey,The thing takes her and the lawn chair crashing into the water. Cut to Dawson with his video camera on a hand-made moving crane.,74
Dawson's Creek,1,0,Dawson,"No! Cut, cut, cut. Pacey...three counts you gotta wait before you come up, come on!",75
Dawson's Creek,1,0,Dawson,We realize it's Pacey cloaked in a sea creature costume. He tries to climb up on the dock but Joey grabs him and pulls him back down.,76
Dawson's Creek,1,0,Joey,"(climbing up) God, Pacey!",77
Dawson's Creek,1,0,Joey,Pacey takes off his sea creature mask and follows her up.,78
Dawson's Creek,1,0,Pacey,What was that all about?,79
Dawson's Creek,1,0,Dawson,"(watching, and commenting the whole time) Joey...(pause) Pacey, C'mon. You go before she's established on the dock, it's not scary.",80
Dawson's Creek,1,0,Dawson,Joey grabs a towel and wraps it around her neck.,81
Dawson's Creek,1,0,Joey,"You did it again, you grabbed my ass.",82
Dawson's Creek,1,0,Pacey,(waving it off) Like you even have one.,83
Dawson's Creek,1,0,Dawson,"Guys, were way behind schedule, all right. We got two weeks, I'm not going to make the festival.",84
Dawson's Creek,1,0,Joey,I'm not playing the victim.,85
Dawson's Creek,1,0,Dawson,"Hello, some cooperation.",86
Dawson's Creek,1,0,Pacey,"Hey, it's Meryl Streep's fault okay, I'm doing my best.",87
Dawson's Creek,1,0,Joey,(glaring at him) Bite me.,88
Dawson's Creek,1,0,Joey,Dawson notices a yellow taxi pull up next door. A beautiful blond girl steps out and looks around. Pacey glances over and sees the taxi also. Joey is to busy glaring at Pacey to notice.,89
Dawson's Creek,1,0,Pacey,"Well, my mouth drops.",90
Dawson's Creek,1,0,Pacey,"Pacey starts down the dock toward the girl. Dawson pauses, then follows. Joey watches and trails behind them. Cut to the girl walking toward them.",91
Dawson's Creek,1,0,Jen,Hi there.,92
Dawson's Creek,1,0,Pacey,"Hi, Pacey. Nice to meet you.",93
Dawson's Creek,1,0,Pacey,They shake hands.,94
Dawson's Creek,1,0,Jen,Hi.,95
Dawson's Creek,1,0,Jen,Dawson also shakes Jen's hand.,96
Dawson's Creek,1,0,Dawson,"Hi, I'm Da...",97
Dawson's Creek,1,0,Jen,"(interrupting) Your Dawson. Dawson, yeah I know. We've met before. I'm Jen.",98
Dawson's Creek,1,0,Dawson,"Oh, the granddaughter from New York, okay.",99
Dawson's Creek,1,0,Dawson,"Joey watches Dawson's face, irked.",100
Dawson's Creek,1,0,Jen,That's right,101
Dawson's Creek,1,0,Dawson,"Wow, you look...different.",102
