show,season,episode,character,line,line_no
Schitt's Creek,1,1,Stage directions,(Birds chirp),1
Schitt's Creek,1,1,Stage directions,(Doorbell rings),2
Schitt's Creek,1,1,Stage directions,(Footsteps echo),3
Schitt's Creek,1,1,Stage directions,(Doorbell rings),4
Schitt's Creek,1,1,Stage directions,(Footstep clomp),5
Schitt's Creek,1,1,Stage directions,"(Doorbell rings twice, quickly)",6
Schitt's Creek,1,1,Stage directions,(Doors creaks open),7
Schitt's Creek,1,1,NA,Immigration?,8
Schitt's Creek,1,1,Revenue agent,Revenue.,9
Schitt's Creek,1,1,Revenue agent,Missus Rose! There are people here from the government!,10
Schitt's Creek,1,1,Stage directions,(Rushed footsteps thud),11
Schitt's Creek,1,1,Stage directions,(Moira screams shrilly),12
Schitt's Creek,1,1,Revenue agent,I've been gutted!,13
Schitt's Creek,1,1,Revenue agent,"John, I've been stripped of every morsel of pleasure I earned in this life!",14
Schitt's Creek,1,1,Johnny,"Well, how do you think I feel, Moira?!",15
Schitt's Creek,1,1,Johnny,"Eli was family, for God's sake!",16
Schitt's Creek,1,1,Johnny,"Leave your finances to me, he said! Son of a bitch!",17
Schitt's Creek,1,1,Alexis,"Baby, it's crazy, people are just like, taking our stuff!",18
Schitt's Creek,1,1,Alexis,"I said, they're taking our stuff!",19
Schitt's Creek,1,1,Alexis,"Can you just step out of the club for a second, ple...",20
Schitt's Creek,1,1,Alexis,"Hold on, hold on! Those bags are not for you, my boyfriend bought those for me, so, theoretically, they are his!",21
Schitt's Creek,1,1,Revenue agent 1,"Please sir, can you step aside?",22
Schitt's Creek,1,1,David,"No, you step aside! You step aside!",23
Schitt's Creek,1,1,David,I'm still trying to wrap my mind around what kind of a sick person wants to get paid to destroy another person's life!,24
Schitt's Creek,1,1,David,Destroy another person's life!,25
Schitt's Creek,1,1,David,Where are you taking that?!,26
Schitt's Creek,1,1,David,"My very soul has been kidnapped, there's no ransom, no one's coming to save me!",27
Schitt's Creek,1,1,Johnny,"We've got 15 minutes to collect our personals, can we pick up the pace?!",28
Schitt's Creek,1,1,Moira,"No, no!",29
Schitt's Creek,1,1,Moira,Did you put Kristen with Robin? They don't like each other!,30
Schitt's Creek,1,1,Moira,Nooooo! Nooooo! (Sobbing),31
Schitt's Creek,1,1,Lawyer,"Eli really did a number, Johnny.",32
Schitt's Creek,1,1,Lawyer,He took everything.,33
Schitt's Creek,1,1,Lawyer,"They're still looking for him, they think he's in the Caymans.",34
Schitt's Creek,1,1,Lawyer,"He was our business manager, he's supposed to pay taxes!",35
Schitt's Creek,1,1,Lawyer,Hmm.,36
Schitt's Creek,1,1,Lawyer,"There is a very small amount set aside for you, and one asset the government has allowed you to retain.",37
Schitt's Creek,1,1,Lawyer,The kids.,38
Schitt's Creek,1,1,Lawyer,"The children are dependents, Moira.",39
Schitt's Creek,1,1,Lawyer,"You bought a small town in 1991, Johnny.",40
Schitt's Creek,1,1,Lawyer,"Yes, I bought that as a joke for my son.",41
Schitt's Creek,1,1,Lawyer,"Wait, you actually purchased that town?",42
Schitt's Creek,1,1,Lawyer,"Yes, I purchased the town, how else could I get the deed?",43
Schitt's Creek,1,1,Alexis,You could've photo shopped the deed!,44
Schitt's Creek,1,1,David,And saved the money!,45
Schitt's Creek,1,1,David,"Why would I Photoshop a deed, the joke was owning the town!",46
Schitt's Creek,1,1,Moira,"Okay, stop.",47
Schitt's Creek,1,1,Johnny,That was the joke!,48
Schitt's Creek,1,1,David,Oh my God!,49
Schitt's Creek,1,1,Johnny,"Well, that was the joke!",50
Schitt's Creek,1,1,Lawyer,To Johnny's credit...,51
Schitt's Creek,1,1,Lawyer,"This town just might be your saving grace, at least for a while.",52
Schitt's Creek,1,1,Moira,What do you mean?,53
Schitt's Creek,1,1,Moira,"You can live there for next to nothing, until you get back on your feet.",54
Schitt's Creek,1,1,Moira,"I'm sure there's a penthouse we can move into, please, there are other options.",55
Schitt's Creek,1,1,Moira,"Well, homelessness is still on the table.",56
Schitt's Creek,1,1,Moira,♪,57
Schitt's Creek,1,1,Alexis,"The whole time I was surrounded by old women wearing visors, who smelled like yams!",58
Schitt's Creek,1,1,Alexis,There was nowhere to lie down!,59
Schitt's Creek,1,1,Alexis,"There was nowhere to lie down, there was no bed!",60
Schitt's Creek,1,1,Alexis,There was no kitchen.,61
Schitt's Creek,1,1,Alexis,I know!,62
Schitt's Creek,1,1,Alexis,No.,63
Schitt's Creek,1,1,Alexis,"I don't know what to tell you, there's like, cows all over the place, like, everywhere.",64
Schitt's Creek,1,1,Alexis,"I don't know if there's even a station,",65
Schitt's Creek,1,1,Alexis,I don't know what's happening!,66
Schitt's Creek,1,1,Stage directions,(Clears throat) Johnny Rose!,67
Schitt's Creek,1,1,Alexis,Roland Schitt.,68
Schitt's Creek,1,1,Alexis,"Oh, you're the mayor we're supposed to meet.",69
Schitt's Creek,1,1,Alexis,"That's right, I'm the mayor, so if you're looking for an ass to kiss, it's mine!",70
Schitt's Creek,1,1,Stage directions,(Chortles),71
Schitt's Creek,1,1,Alexis,"Oh, this is my family, my son...",72
Schitt's Creek,1,1,Alexis,"Let's get you all squared away in the office there, Johnny, okay, the gals can grab the bags, you follow me, all right, right this way, watch it, honey, here we come.",73
Schitt's Creek,1,1,Alexis,"The ""Cheaters"" marathon we watched, it's like that.",74
